nom_ent,nom_mun,nom_loc,ageb,pobfem,p_0a2_f,p_3a5_f,p_6a11_f,p_12a14_f,p_15a17_f,p_18a24_f,p_25a49_f,p_50a_59_f,p_60ymas_f
México,Toluca,Toluca de Lerdo,3693,73,0.0,5,9.0,4.0,0.0,10,32.0,13.0,0.0
México,Toluca,Toluca de Lerdo,3706,421.0,12.0,22.0,46.0,10.0,12.0,42.0,177.0,100.0,0.0
México,Toluca,Toluca de Lerdo,3710,1437.0,59.0,69.0,135.0,57.0,73.0,196.0,589.0,210.0,49.0
México,Toluca,San José Guadalupe Otzacatipan,3725,794.0,50.0,44.0,72.0,6.0,12.0,29.0,474.0,94.0,13.0
México,Toluca,San Diego de los Padres Cuexcontitlán,3744,1558.0,91.0,119.0,231.0,92.0,77.0,217.0,540.0,125.0,66.0
México,Toluca,San Pedro Totoltepec,3759,0,0,0,0,0,0,0,0,0,0
México,Toluca,Toluca de Lerdo,3763,302.0,15.0,9.0,24.0,12.0,17.0,41.0,113.0,62.0,9.0
México,Toluca,Fraccionamiento Real de San Pablo,3778,1522,84.0,128.0,203.0,36.0,29.0,131.0,723.0,185.0,3.0
México,Toluca,Toluca de Lerdo,035A,2793.0,137.0,145.0,307.0,148.0,136.0,358.0,1060.0,307.0,195.0
México,Toluca,Toluca de Lerdo,042A,1831.0,23.0,44.0,131.0,34.0,54.0,177.0,713.0,360.0,295.0
México,Toluca,San Marcos Yachihuacaltepec,149A,1264.0,54.0,59.0,127.0,51.0,57.0,160.0,488.0,177.0,91.0
México,Toluca,Toluca de Lerdo,156A,2437,80.0,81.0,190.0,102.0,107.0,378.0,1020.0,387.0,92.0
México,Toluca,Toluca de Lerdo,163A,110,0.0,6.0,9.0,3.0,8,15.0,40.0,26.0,3.0
México,Toluca,San Pablo Autopan,170A,1351.0,90.0,97.0,206.0,63.0,76.0,177.0,450.0,141.0,51.0
México,Toluca,Toluca de Lerdo,188A,2877.0,94.0,123.0,218.0,92.0,134.0,393.0,1092.0,526.0,205.0
México,Toluca,Toluca de Lerdo,195A,1746.0,56.0,46.0,150.0,43.0,31.0,231.0,719.0,364.0,106.0
México,Toluca,Toluca de Lerdo,206A,1375.0,64.0,51.0,122.0,60.0,66.0,199.0,532.0,193.0,88.0
México,Toluca,Toluca de Lerdo,213A,952,28.0,31.0,64.0,37.0,27.0,100.0,368.0,202.0,95.0
México,Toluca,Jicaltepec Autopan,220A,2327.0,158.0,157.0,333.0,122.0,140.0,315.0,813.0,195.0,94.0
México,Toluca,Toluca de Lerdo,238A,104,6,8,19,4,5.0,10,40.0,9.0,3.0
México,Toluca,Toluca de Lerdo,245A,1024.0,27.0,18.0,105.0,34.0,42.0,131.0,421.0,235.0,11.0
México,Toluca,San Diego los Padres Cuexcontitlán Sección 5 B,252A,1630,103.0,121.0,210,87.0,94.0,250.0,560.0,118.0,87.0
México,Toluca,Toluca de Lerdo,277A,1480.0,102.0,95.0,175.0,61.0,71.0,209.0,531.0,193.0,43.0
México,Toluca,San Antonio Buenavista,284A,127,4,8,12,8,6,18,42,10,19
México,Toluca,San Felipe Tlalmimilolpan,302A,144,10,7,15,8,10,3,67,10,14
México,Toluca,Toluca de Lerdo,327A,3859,181.0,208.0,418.0,188.0,218.0,440.0,1564.0,460.0,182.0
México,Toluca,Toluca de Lerdo,334A,1574.0,76.0,92.0,183.0,58.0,88.0,207.0,618.0,218.0,34.0
México,Toluca,Toluca de Lerdo,341A,324,12.0,14.0,35,23.0,14.0,28.0,146.0,34.0,18.0
México,Toluca,Cacalomacán,359A,271,15,24,18,10,21,26,130,17,10
México,Toluca,Toluca de Lerdo,366A,54,0.0,0.0,3,6,5,5,18,9.0,8
México,Toluca,San Diego de los Padres Cuexcontitlán,373A,782.0,52.0,47.0,84.0,36.0,32.0,110.0,271.0,114.0,36.0
